Country,Category,Flow name,Flow code,Flow unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Indonesia,Fossil fuels,Imports,IMP,t,0.0,16000.0,283000.0,201000.0,269000.0,506000.0,339000.0,3346000.0,2470000.0,3534000.0,5192000.0,2681000.0,4186000.0,3372000.0,5533000.0,4317000.0,5066000.0,6005000.0,3808000.0,5607000.0,6642000.0,5639000.0,8370000.0,7949000.0,7923000.0,9955000.0,9836000.0,9894000.0,10462000.0,11563000.0,11251000.0,17270000.0,17940000.0,19186000.0,21542000.0,18021000.0,17730000.0,17454000.0,13772000.0,20618000.0,19790000.0,19248000.0,19668000.0,16527000.0,18462000.0,21543000.0,23979894.0,22665884.0,22833242.0,19132487.0,23611557.0,23914947.0,24529419.0,25255985.0,25957529.0
Indonesia,Fossil fuels,Exports,EXP,t,29916000.0,32416000.0,40705000.0,49438000.0,54635000.0,52507000.0,59271000.0,68379000.0,73001325.0,67310154.0,60065139.0,57744137.0,64104489.0,59204768.0,60009555.0,54231521.0,59700420.0,54594510.0,53563142.0,57261929.0,61073907.0,72598320.0,77781602.0,79633666.0,88864151.0,97095276.0,98406147.0,104734506.0,118137410.0,123178130.0,112208419.0,120879071.0,129433920.0,143907522.0,157534442.0,175448834.0,219131119.0,247400391.0,240188902.0,263424775.0,348332848.0,318042798.0,349207838.0,463972810.0,448196310.0,395988648.0,399768251.0,416994227.0,453920532.0,473269611.0,426075538.0,435162247.0,439291061.0,443147364.0,446522566.0
